#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,ISPU T [us],Features[0],Features[1],Features[2],Features[3],Features[4],Features[5],Features[6],Features[7],Features[8],Features[9],Features[10],Features[11],Iteration,
40019198542,,,,,,,,,,,,,0x218,,0.371124,0.0155315,1.62333,-0.0490065,1.84415,0.963181,0.175399,3.45641,5.05924,5,3,4,173,
40020190746,,,,,,,,,,,,,0x218,,0.631472,-0.132361,1.84171,-0.155184,2.03618,1.05301,0.82488,9.51441,11.5945,5,5,4,174,
40021182546,,,,,,,,,,,,,0x218,,0.46726,-0.0928232,1.76583,-0.194111,1.87685,0.93223,0.489557,8.86715,8.41288,4,3,4,175,
40022175094,,,,,,,,,,,,,0x218,,0.489464,-0.0794595,2.09962,-0.212533,1.65554,0.912485,0.518484,10.0302,8.03677,3,3,4,176,
40023166886,,,,,,,,,,,,,0x218,,0.390156,-0.0323018,1.94639,-0.301302,1.97957,0.923728,0.352921,7.39569,10.6717,3,4,3,177,
40024158939,,,,,,,,,,,,,0x218,,0.407724,-0.067588,2.1084,-0.304747,2.0884,0.988735,0.318573,9.11287,13.1769,4,4,3,178,
40025150872,,,,,,,,,,,,,0x218,,0.363072,-0.102208,1.69702,-0.243043,1.99055,1.02735,0.305334,7.38974,10.8012,5,3,4,179,
40026142555,,,,,,,,,,,,,0x218,,0.207644,0.0124628,1.51182,-0.139512,1.81512,0.956236,0.0802631,4.19524,7.68127,4,5,4,180,
40027134493,,,,,,,,,,,,,0x218,,0.293776,-0.00984446,1.60967,-0.197114,1.32394,1.03823,0.134652,6.60554,5.34732,4,3,4,181,
40028126939,,,,,,,,,,,,,0x218,,0.345748,-0.0361589,1.90491,-0.172583,2.09718,0.988913,0.251109,8.47434,13.0689,5,4,3,182,
40029119396,,,,,,,,,,,,,0x218,,0.366,-0.0206086,2.00958,-0.169711,1.82219,0.911622,0.258715,9.36784,8.92024,3,3,4,183,
40030111818,,,,,,,,,,,,,0x218,,0.22082,0.00547123,1.53769,-0.236886,1.54476,1.02214,0.129537,5.23165,7.16209,4,4,4,184,
40031104626,,,,,,,,,,,,,0x218,,0.274744,0.0355395,1.58161,-0.16226,1.38421,1.01756,0.150303,5.32357,5.37195,4,4,4,185,
40032096968,,,,,,,,,,,,,0x218,,0.369904,-0.0205054,1.83317,-0.19627,1.86196,0.863009,0.212598,7.94245,10.144,6,3,4,186,
40033089043,,,,,,,,,,,,,0x218,,0.3477,-0.0519908,1.81024,-0.326716,2.05668,0.893603,0.282649,7.58872,13.6464,4,4,3,187,
40034081629,,,,,,,,,,,,,0x218,,0.397964,-0.0480586,1.8766,-0.168144,2.11255,1.09823,0.294646,8.85598,11.6829,6,3,4,188,
40035073554,,,,,,,,,,,,,0x218,,0.437736,-0.0209371,1.95395,-0.156826,2.17453,1.03315,0.431547,8.54166,14.2409,3,4,4,189,
40036065350,,,,,,,,,,,,,0x218,,0.373076,-0.00443892,1.93492,-0.128532,1.98323,0.944515,0.293384,6.82101,13.7841,6,4,3,190,
40037057366,,,,,,,,,,,,,0x218,,0.39406,0.0176431,1.9254,-0.210112,1.9725,0.898474,0.303732,7.48438,8.17983,4,3,4,191,
40038049661,,,,,,,,,,,,,0x218,,0.29646,0.0388241,1.22683,-0.203975,1.6082,0.963293,0.240173,3.52479,8.01914,3,4,3,192,
40039041912,,,,,,,,,,,,,0x218,,0.1952,0.0855783,1.28149,-0.108852,1.23635,1.01062,0.089276,4.29446,4.97425,4,4,4,193,
40040034080,,,,,,,,,,,,,0x218,,0.31842,0.0426718,1.7751,-0.265556,1.79608,0.968464,0.179329,5.92187,10.8517,5,4,3,194,
40041026234,,,,,,,,,,,,,0x218,,0.384056,-0.00149215,1.62431,-0.132323,1.60601,1.12161,0.255103,6.5679,7.88104,6,3,4,195,
40042018168,,,,,,,,,,,,,0x218,,0.407724,-0.0275251,1.84293,-0.0326585,1.86758,0.939137,0.312864,7.48832,9.96121,2,4,3,196,
40043010995,,,,,,,,,,,,,0x218,,0.339404,-0.0284354,1.66603,-0.218568,1.96396,0.907539,0.318156,6.28956,10.1077,3,3,4,197,
40044003053,,,,,,,,,,,,,0x218,,0.325252,-0.0152782,1.45839,-0.219037,1.69482,1.07192,0.245067,5.46612,9.47902,4,3,3,198,
40044995536,,,,,,,,,,,,,0x218,,0.22692,0.0482745,1.69848,-0.10035,1.81536,1.0651,0.117998,7.5294,8.75253,3,3,4,199,
40045987501,,,,,,,,,,,,,0x218,,0.210328,0.0550314,1.4945,-0.0426155,1.43521,0.926825,0.122977,5.87182,7.24619,4,3,3,200,
