time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,ISPU T [us],Features[0],Features[1],Features[2],Features[3],Features[4],Features[5],Features[6],Features[7],Features[8],Features[9],Features[10],Features[11],Iteration,
60036982716,,,,,,,,,,,,,0x218,,0.002928,0.0323582,0.00243998,0.753932,0.00561202,-0.65041,1.02494e-5,7.42139e-6,3.01346e-5,0,0,0,294,
60037975170,,,,,,,,,,,,,0x218,,0.01464,0.0305,0.00902796,0.754082,0.01464,-0.64919,0.000387222,0.000105289,0.00037187,0,0,0,295,
60038968237,,,,,,,,,,,,,0x218,,0.306952,0.044286,0.564372,0.728753,0.62708,-0.673421,0.0967959,0.250626,0.281766,4,3,3,296,
60039959888,,,,,,,,,,,,,0x218,,0.792024,0.267227,0.693936,0.77852,0.707112,-0.47625,0.826226,1.15599,0.897818,2,12,12,297,
60040951669,,,,,,,,,,,,,0x218,,0.499712,0.06405,0.630008,0.911227,1.7668,-0.0501233,0.467051,0.582173,5.75309,5,16,6,298,
60041943476,,,,,,,,,,,,,0x218,,0.364292,0.214373,0.303536,0.956696,0.298412,-0.173587,0.162743,0.103443,0.193573,12,10,5,299,
60042935550,,,,,,,,,,,,,0x218,,0.270352,0.590067,1.11752,0.448012,1.15729,0.511649,0.141202,2.42936,3.42141,6,2,1,300,
60043927634,,,,,,,,,,,,,0x218,,0.610976,0.573306,0.496296,-0.260329,0.649284,0.764114,0.873017,0.586139,0.572106,1,1,4,301,
60044919274,,,,,,,,,,,,,0x218,,0.652212,0.754279,0.602192,-0.148033,1.07506,-0.457181,1.55305,1.37202,2.84313,1,1,1,302,
60045911351,,,,,,,,,,,,,0x218,,0.319152,0.266936,0.28548,-0.579904,0.232288,-0.756588,0.266579,0.207135,0.0898598,1,2,5,303,
60046902902,,,,,,,,,,,,,0x218,,0.594384,0.63424,1.10044,0.435427,1.80462,-0.0390212,0.484413,1.73881,8.97961,3,5,2,304,
60047894962,,,,,,,,,,,,,0x218,,0.249368,0.679465,0.79666,0.303949,0.269864,0.670015,0.0751037,1.15322,0.119801,10,4,9,305,
60048886518,,,,,,,,,,,,,0x218,,0.382104,0.648524,0.465064,-0.505896,0.661484,0.569956,0.307127,0.471914,0.633752,2,3,5,306,
60049878229,,,,,,,,,,,,,0x218,,0.532652,0.0964082,0.37088,-0.894194,0.517768,0.431373,0.587555,0.235647,0.487315,1,3,1,307,
60050869915,,,,,,,,,,,,,0x218,,0.874496,0.791705,1.00796,0.298365,1.464,-0.304465,0.793306,1.54673,2.91368,3,2,2,308,
70000731618,,,,,,,,,,,,,0x218,,0.534604,0.465505,0.473604,-0.416977,0.217404,-0.757911,0.586151,0.324449,0.0925747,1,1,3,309,
70001723533,,,,,,,,,,,,,0x218,,0.556076,0.237515,0.48434,-0.606209,0.850096,-0.686363,0.384995,0.633717,1.73675,6,1,1,310,
70002715323,,,,,,,,,,,,,0x218,,0.278648,0.698797,0.72346,-0.476635,0.633668,0.495273,0.171896,1.36053,0.904482,2,1,1,311,
70003706991,,,,,,,,,,,,,0x218,,0.363316,0.744697,0.646356,-0.297999,0.555832,0.589222,0.228698,0.942367,0.690574,8,4,10,312,
70004698266,,,,,,,,,,,,,0x218,,0.903776,0.109547,0.643672,-0.127002,0.278892,0.944852,2.14691,0.750436,0.0943984,1,4,9,313,
70005690059,,,,,,,,,,,,,0x218,,0.568032,-0.646206,0.399184,-0.559576,0.639768,0.434752,0.67431,0.375143,1.05978,3,1,2,314,
70006681602,,,,,,,,,,,,,0x218,,0.777384,0.158806,0.756644,-0.318664,0.517036,0.894044,1.22195,1.2628,0.330648,1,3,6,315,
70007673674,,,,,,,,,,,,,0x218,,0.5063,0.672032,0.62098,-0.454816,1.48059,0.225015,0.643946,0.900467,7.03437,1,2,1,316,
70008665618,,,,,,,,,,,,,0x218,,1.14924,0.315088,1.10874,0.479845,0.556808,-0.651686,2.97941,3.21232,0.392416,1,1,4,317,
70009657172,,,,,,,,,,,,,0x218,,1.22878,0.548953,0.909632,0.483927,0.937448,-0.358126,4.44354,2.41298,2.4489,1,1,2,318,
70010648425,,,,,,,,,,,,,0x218,,0.64416,0.647257,1.00235,0.166342,0.762988,0.655187,1.1447,1.98541,1.19106,1,1,1,319,
70011639825,,,,,,,,,,,,,0x218,,1.47986,-0.439181,1.66286,-0.409357,1.74118,-0.392249,4.33461,3.2003,8.56633,2,8,5,320,
70012631506,,,,,,,,,,,,,0x218,,0.936716,0.168351,1.18389,0.403191,2.07376,-0.214786,3.47313,4.32251,12.9759,1,3,1,321,
70013623325,,,,,,,,,,,,,0x218,,0.958432,0.544111,0.650992,0.179556,1.60064,0.760032,1.80689,0.966431,2.77414,4,3,5,322,
70014615110,,,,,,,,,,,,,0x218,,0.330376,0.0963612,0.272548,-0.0296366,0.196664,1.00384,0.13779,0.149128,0.0693591,5,6,13,323,
70015607279,,,,,,,,,,,,,0x218,,0.503372,0.176215,0.295728,-0.37011,0.199348,0.924779,0.530222,0.211629,0.0629878,3,3,7,324,
70016598886,,,,,,,,,,,,,0x218,,0.515572,0.402412,0.934032,0.191268,0.33916,0.841612,0.444794,2.74557,0.309266,2,1,2,325,
70017590787,,,,,,,,,,,,,0x218,,0.441884,0.48098,1.09995,0.0945688,0.519476,0.806298,0.475835,2.57268,0.648374,3,1,2,326,
