#Format version: 1.0
time[us],accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps],magnX[mG],magnY[mG],magnZ[mG],press[hPa],temp[C],hum[%RH],newData,ISPU T [us],Features[0],Features[1],Features[2],Features[3],Features[4],Features[5],Features[6],Features[7],Features[8],Features[9],Features[10],Features[11],Iteration,
80047825580,,,,,,,,,,,,,0x218,,0.305,0.212158,3.76297,-0.258687,1.13631,0.97021,0.0868594,13.2601,0.892204,3,3,8,408,
80048817999,,,,,,,,,,,,,0x218,,0.896456,0.132501,4.87292,-0.124581,0.99796,0.910158,1.35961,59.9006,1.8892,7,11,16,409,
80049811148,,,,,,,,,,,,,0x218,,0.806664,0.0579594,4.98468,-0.2992,1.0043,0.886358,1.11116,59.628,2.02088,8,11,13,410,
80050803571,,,,,,,,,,,,,0x218,,0.70272,0.211473,4.29538,-0.0940151,1.06555,0.93102,0.834952,42.1189,1.68653,11,10,10,411,
90000665888,,,,,,,,,,,,,0x218,,0.839116,0.161772,4.84316,-0.114032,1.06408,0.916586,1.14604,53.0876,2.24843,10,9,9,412,
90001658334,,,,,,,,,,,,,0x218,,0.919636,0.0622294,5.17622,-0.188546,1.3076,0.914296,1.40072,71.986,3.61922,10,10,10,413,
90002651279,,,,,,,,,,,,,0x218,,0.892308,0.175567,5.08301,-0.167975,1.42545,0.930043,2.03792,69.3252,2.28812,9,10,10,414,
90003643958,,,,,,,,,,,,,0x218,,0.820572,0.135748,4.05162,-0.168191,1.33712,0.93193,1.05652,35.892,2.53496,5,10,10,415,
90004636676,,,,,,,,,,,,,0x218,,0.874496,0.0710509,4.74019,-0.106703,0.845216,0.928138,1.47838,65.1476,1.90702,10,9,10,416,
90005629019,,,,,,,,,,,,,0x218,,0.682224,0.18758,3.91132,-0.100894,0.89304,0.970266,0.750919,32.9318,1.8721,7,9,10,417,
90006621340,,,,,,,,,,,,,0x218,,0.881816,-0.0367314,5.30944,-0.0809235,1.06018,0.909369,1.7031,85.6184,2.13631,10,10,13,418,
90007614659,,,,,,,,,,,,,0x218,,1.13021,0.0520565,4.80729,-0.142261,1.43448,0.949554,2.42685,70.4451,2.94914,5,10,9,419,
90008607339,,,,,,,,,,,,,0x218,,0.69174,0.111104,3.61559,-0.101814,1.38202,0.947593,1.05986,30.4998,3.66682,3,10,9,420,
90009600135,,,,,,,,,,,,,0x218,,0.862052,0.019154,6.02534,-0.08235,1.27612,0.902077,1.85413,82.8731,2.57969,9,9,10,421,
90010593097,,,,,,,,,,,,,0x218,,0.877668,0.117768,4.88317,-0.264355,1.088,0.907239,1.7062,59.6288,2.58132,10,8,9,422,
90011586316,,,,,,,,,,,,,0x218,,0.651236,-0.0361777,4.4081,-0.0866575,0.992104,0.940761,0.92188,53.7281,2.36541,8,10,10,423,
90012579498,,,,,,,,,,,,,0x218,,0.644892,0.15571,4.25609,-0.0567582,0.743712,0.967845,0.736872,34.9072,0.716164,9,8,11,424,
90013572698,,,,,,,,,,,,,0x218,,0.697596,-0.0287075,4.33734,-0.184267,0.639768,0.939353,0.870106,49.5332,0.965626,9,10,13,425,
90014566260,,,,,,,,,,,,,0x218,,0.626592,0.153457,4.52205,-0.132173,0.856196,0.964316,0.730962,36.5217,1.23264,6,7,8,426,
90015559205,,,,,,,,,,,,,0x218,,0.592188,-0.0887128,5.08862,-0.0720176,1.0697,0.983846,0.677606,70.4318,1.66915,9,9,12,427,
90016552590,,,,,,,,,,,,,0x218,,0.83814,0.0567769,4.68334,0.0314197,0.951356,0.949779,1.10766,67.9326,1.92669,10,9,11,428,
90017546045,,,,,,,,,,,,,0x218,,0.727852,0.0581189,3.78273,-0.158919,1.12264,0.981715,1.20578,25.1108,2.02812,4,8,10,429,
90018539248,,,,,,,,,,,,,0x218,,0.814716,-0.0410671,5.27308,-0.00483309,1.27588,0.910176,1.53109,74.3429,1.9662,7,9,8,430,
90019533118,,,,,,,,,,,,,0x218,,0.615368,0.138301,3.95378,-0.212496,0.923784,0.963997,0.79844,41.3936,2.05167,7,8,9,431,
90020526489,,,,,,,,,,,,,0x218,,0.918172,-0.0811582,4.91221,-0.0104357,1.12191,0.948344,1.5476,61.019,3.31318,7,9,9,432,
90021519685,,,,,,,,,,,,,0x218,,0.80398,0.0100978,4.05528,-0.0466603,1.58771,0.905052,1.51084,50.2078,4.49068,7,9,11,433,
90022512876,,,,,,,,,,,,,0x218,,0.744688,0.037454,3.88424,-0.190705,2.05204,0.977924,1.1463,39.1236,9.41472,7,9,9,434,
90023505725,,,,,,,,,,,,,0x218,,0.688812,-0.0785023,4.32929,-0.0422026,1.50841,0.936782,0.682812,47.3107,4.42174,9,9,9,435,
90024498920,,,,,,,,,,,,,0x218,,0.391376,0.108327,3.4526,-0.0793563,1.30272,0.970932,0.182708,16.0976,2.36165,5,9,10,436,
